,검사명,검체검사결과,검체
0,Ab.Lymphoidcell,응급검사,Blood(EDTA)
1,Abnoormal.lympho,일반혈액,Blood(EDTA)
39,ABOtyping,혈액은행검사,Plain Blood
41,Abscreen,혈액은행검사,Plain Blood
43,ACTH-0분,호르몬자극검사,Serum basal
44,ACTH-0분,호르몬자극검사,"Blood(EDTA),Basal"
45,ALB,일반화학1,Blood(SST)
85,"ALB,U-E,응급",응급검사,"Urine,random"
88,"ALB-E,응급",응급화학검사,Blood(SST)
89,Albumin,요검사,"Urine,random"
115,ALP,일반화학1,Blood(SST)
155,"ALP-E,응급",응급화학검사,Blood(SST)
156,"ANA,titer",혈청,B(SST)
157,ANC,일반혈액,Blood(EDTA)
195,"ANC,응급",응급검사,Blood(EDTA)
196,"ANC,응급",일반혈액,Blood(EDTA)
197,Anti-ds-DNA,"간염,종양,빈혈및기타",B(SST)
198,Anti-HBs,혈청,Blood(SST)
199,Anti-HCV,혈청,Blood(SST)
200,APTT,혈액응고,Blood(Sod.citrate)
204,"APTT-E,응급",응급검사,Blood(Sod.citrate)
206,"ASO,quan.",혈청,Blood(SST)
207,Atypicallymphocyte,응급검사,Blood(EDTA)
208,Atypicallymphocyte,일반혈액,Blood(EDTA)
246,Band.neutrophil,응급검사,Blood(EDTA)
247,band.neutrophil,일반혈액,Blood(EDTA)
285,Baseophil,응급검사,Blood(EDTA)
286,Baseophil,일반혈액,Blood(EDTA)
324,"BIL.T-E,응급",응급화학검사,Blood(SST)
325,"BILI,U-E,응급",응급검사,"Urine,random"
328,Bilirubin,요검사,"Urine,random"
354,BKPCR,분자유전학,Blood(SST)
355,Blast,응급검사,Blood(EDTA)
356,blast,일반혈액,Blood(EDTA)
394,Blood,요검사,"Urine,random"
420,"Blood,U-E,응급",응급검사,"Urine,random"
423,BloodGram/Micro,혈액배양,B(혈액배양1쌍)
425,BUN,일반화학1,Blood(SST)
467,"BUN-E,응급",응급화학검사,Blood(SST)
469,"BUN-E,응급",일반화학1,Blood(SST)
470,C.difficil,미생물틀수,Stool
471,C3,단백면역화학,B(SST)
472,C4,단백면역화학,B(SST)
473,CA,일반화학1,Blood(SST)
515,"Ca,T.-E,응급",응급화학검사,Blood(SST)
516,Ca++,일반화학1,Blood(SST)
517,Cast,요검사,"Urine,random"
543,Cast,응급검사,"Urine,random"
546,CHOL,일반화학1,Blood(SST)
586,"CHOL-E,응급",응급화학검사,Blood(SST)
587,CL,일반화학1,Blood(SST)
629,"CL,U",일반화학2,"Urine,random"
632,"Cl,U,응급",응급화학검사,"Urine,random"
633,"Cl,U,응급",일반화학1,"Urine,random"
634,"Cl-E,응급",응급화학검사,Blood(SST)
635,"Cl-E,응급",일반화학1,Blood(SST)
636,CMVigG,혈청,Blood(SST)
637,CMVigM,혈청,Blood(SST)
638,CMV-PCR,분자유전학,Stool
639,Color,요검사,"Urine,random"
665,Color,응급검사,"Urine,random"
668,Cor-0분,호르몬자극검사,Serum basal
670,Cor-30분,호르몬자극검사,Serum basal
672,"CREAT,U",일반화학2,"Urine,random"
709,"Creat,U,응급",응급화학검사,"Urine,random"
710,"Creat,U,응급",일반화학1,"Urine,random"
711,"Creat-E,응급",응급화학검사,Blood(SST)
713,"Creat-E,응급",일반화학1,Blood(SST)
714,Creatinine,일반화학1,Blood(SST)
756,"CRP,quan.",일반화학1,Blood(SST)
763,"CRP-E,응급",응급화학검사,Blood(SST)
764,Cryoglobul,혈청,"Blood(PLA_,37︒C 유지)"
765,Crystal,요검사,"Urine,random"
791,Crystal,응급검사,"Urine,random"
794,Culture,일반미생물,Urine (Void)
795,Culture,일반미생물,Urine(Void)
796,Culture,일반미생물,Sputum
797,Culture,혈액배양,B(혈액배양1쌍)
799,Cyclosporine,"간염,종양,빈혈및기타",Blood(EDTA)
802,D.Coombs,혈액은행검사,Blood(EDTA)
803,"D-dimer,QN",혈액응고,Blood(Sod.citrate)
804,Eosinophil,응급검사,Blood(EDTA)
805,Eosinophil,일반혈액,Blood(EDTA)
843,ESR,일반혈액,Blood(EDTA)
847,Ferritin,"간염,종양,빈혈및기타",B(SST)
848,Fibrinogen,혈액응고,Blood(Sod.citrate)
852,Folate,"감염,종양,빈혈및기타",B(SST)
853,FreeT4,갑상선종양검사,Blood(SST)
878,GFR/CKD-EPI,일반화학1,Blood(SST)
920,GFR/MDRD,응급화학검사,Blood(SST)
922,GFR/MDRD,일반화학1,Blood(SST)
965,GGT,일반화학1,Blood(SST)
966,GLU,일반화학1,Blood(SST)
1005,"GLU,U-E,응급",응급검사,"Urine,random"
1008,Glucose,요검사,"Urine,random"
1034,"GLU-E,응급",응급화학검사,Blood(SST)
1035,"GLU-E,응급",일반화학1,Blood(SST)
1036,GOT(AST),일반화학1,Blood(SST)
1076,"GOT(AST)-E,응급",응급화학검사,Blood(SST)
1077,GPT(ALT),일반화학1,Blood(SST)
1117,"GPT(ALT)-E,응급",응급화학검사,Blood(SST)
1118,GramStain,일반미생물,Urine (Void)
1119,GramStain,일반미생물,Urine(Void)
1120,GramStain,일반미생물,Sputum
1121,Haptoglobi,단백면역화학,Blood(EDTA)
1122,Hb,일반혈액,Blood(EDTA)
1163,"HB-E,응급",응급검사,Blood(EDTA)
1165,"HB-E,응급",일반혈액,Blood(EDTA)
1167,HBsAg,혈청,Blood(SST)
1168,Hct,일반혈액,Blood(EDTA)
1209,"HCT-E,응급",응급검사,Blood(EDTA)
1211,"HCT-E,응급",일반혈액,Blood(EDTA)
1213,HDL-C,일반화학1,Blood(SST)
1233,HIVAg/Ab,혈청,Blood(SST)
1234,HSV1-igG,기타검사2,B(SST)
1235,HSV1-igM,기타검사2,B(SST)
1236,I.Coombs,혈액은행검사,Plain Blood
1237,IgA,단백면역화학,B(SST)
1238,IgG,단백면역화학,B(SST)
1239,IgM,단백면역화학,B(SST)
1240,Immaturecell,응급검사,Blood(EDTA)
1241,Iron(Fe),일반화학1,Blood(SST)
1242,K,일반화학1,Blood(SST)
1284,"K,U",일반화학2,"Urine,random"
1287,"K,U,응급",응급화학검사,"Urine,random"
1288,"K,U,응급",일반화학1,"Urine,random"
1289,"K-E,응급",응급화학검사,Blood(SST)
1290,"K-E,응급",일반화학1,Blood(SST)
1291,Ketone,요검사,"Urine,random"
1317,"Ketone,U-E,응급",응급검사,"Urine,random"
1320,LDH-L,일반화학1,Blood(SST)
1321,LDL-C(계산,일반화학1,Blood(SST)
1341,lmmaturecell,일반혈액,Blood(EDTA)
1379,LUC,응급검사,Blood(EDTA)
1380,Lymphyocyte,응급검사,Blood(EDTA)
1381,Lymphyocyte,일반혈액,Blood(EDTA)
1419,MCH,일반혈액,Blood(EDTA)
1460,"MCH,응급",응급검사,Blood(EDTA)
1461,"MCH,응급",일반혈액,Blood(EDTA)
1463,MCHC,일반혈액,Blood(EDTA)
1504,"MCHC,응급",응급검사,Blood(EDTA)
1505,"MCHC,응급",일반혈액,Blood(EDTA)
1507,"MCHC-E,응급",응급검사,Blood(EDTA)
1508,"MCH-E,응급",응급검사,Blood(EDTA)
1509,MCV,일반혈액,Blood(EDTA)
1550,"MCV,응급",응급검사,Blood(EDTA)
1551,"MCV,응급",일반혈액,Blood(EDTA)
1553,"MCV-E,응급",응급검사,Blood(EDTA)
1554,Metamyelocyte,응급검사,Blood(EDTA)
1555,metamyelocyte,일반혈액,Blood(EDTA)
1593,MicroAlb,일반화학2,"Urine,random"
1630,MicroAlbRatio,일반화학2,"Urine,random"
1667,Microsome-Ab,갑상선종양검사,Blood(SST)
1668,Monocyte,응급검사,Blood(EDTA)
1669,Monocyte,일반혈액,Blood(EDTA)
1707,Myelocyte,응급검사,Blood(EDTA)
1708,myelocyte,일반혈액,Blood(EDTA)
1746,,일반화학1,Blood(SST)
1788,"Na,U",일반화학2,"Urine,random"
1791,"Na,U,응급",응급화학검사,"Urine,random"
1792,"Na,U,응급",일반화학1,"Urine,random"
1793,"Na-E,응급",응급화학검사,Blood(SST)
1794,"Na-E,응급",일반화학1,Blood(SST)
1795,"Nitrit,U-E,응급",응급검사,"Urine,random"
1798,Nitrite,요검사,"Urine,random"
1824,NRBC,응급검사,Blood(EDTA)
1825,NRBC,일반혈액,Blood(EDTA)
1864,Occult,기생충검사,Stool(feces)
1865,"OSMO,S",일반화학1,Blood(SST)
1866,Other,요검사,"Urine,random"
1892,Other,응급검사,"Urine,random"
1895,P,일반화학1,Blood(SST)
1937,PBS,일반혈액,Blood(EDTA)
1938,PDW,일반혈액,Blood(EDTA)
1979,"PDW,응급",응급검사,Blood(EDTA)
1980,"PDW,응급",일반혈액,Blood(EDTA)
1982,"PDW-E,응급",응급검사,Blood(EDTA)
1983,pH,요검사,"Urine,random"
2009,"pH,U-E,응급",응급검사,"Urine,random"
2012,"Phospho-E,응급",응급화학검사,Blood(SST)
2013,plasmaHb,특수화학검사,Blood(EDTA)
2014,PLT,일반혈액,Blood(EDTA)
2055,"PLT,응급",일반혈액,Blood(EDTA)
2056,"PLT-E,응급",응급검사,Blood(EDTA)
2058,"PLT-E,응급",일반혈액,Blood(EDTA)
2059,Pro/CreRatio,일반화학2,"Urine,random"
2093,Promyelocyte,응급검사,Blood(EDTA)
2094,promyelocyte,일반혈액,Blood(EDTA)
2132,"Protein,U",일반화학2,"Urine,random"
2166,PT-%,혈액응고,Blood(Sod.citrate)
2170,"PT-%,응급",응급검사,Blood(Sod.citrate)
2172,PT-INR,혈액응고,Blood(Sod.citrate)
2176,"PT-INR,응급",응급검사,Blood(Sod.citrate)
2178,PT-sec,혈액응고,Blood(Sod.citrate)
2182,"PT-sec,응급",응급검사,Blood(Sod.citrate)
2184,RBC,요검사,"Urine,random"
2210,RBC,응급검사,"Urine,random"
2213,RBC,일반혈액,Blood(EDTA)
2254,"RBC-E,응급",응급검사,Blood(EDTA)
2256,"RBC-E,응급",일반혈액,Blood(EDTA)
2258,RDW,일반혈액,Blood(EDTA)
2299,"RDW,응급",응급검사,Blood(EDTA)
2300,"RDW,응급",일반혈액,Blood(EDTA)
2302,"RDW-E,응급",응급검사,Blood(EDTA)
2303,Renalcell,요검사,"Urine,random"
2329,Renalcell,응급검사,"Urine,random"
2332,RetiC.,일반혈액,Blood(EDTA)
2333,"RF,quan",혈청,Blood(SST)
2334,Rhtyping,혈액은행검사,Plain Blood
2336,RPR정성,혈청,Blood(SST)
2337,Seg.neutrophil,응급검사,Blood(EDTA)
2338,seg.neutrophil,일반혈액,Blood(EDTA)
2376,SG,요검사,"Urine,random"
2402,"SG,U-E,응급",응급검사,"Urine,random"
2405,Squamouscell,요검사,"Urine,random"
2431,Squamouscell,응급검사,"Urine,random"
2434,"T.CO2-E,응급",응급화학검사,Blood(SST)
2435,"T.CO2-E,응급",일반화학1,Blood(SST)
2436,T3,갑상선종양검사,Blood(SST)
2461,Tacrolimus(농도),약물및중금속,Blood(EDTA)
2470,TB,일반화학1,Blood(SST)
2510,TCO2,일반화학1,Blood(SST)
2547,TG,일반화학1,Blood(SST)
2566,Tg-Ab,갑상선종양검사,Blood(SST)
2567,TH,일반화학1,Blood(SST)
2568,TIBC,일반화학1,Blood(SST)
2569,TP,일반화학1,Blood(SST)
2609,"TP-E,응급",응급화학검사,Blood(SST)
2610,Transitionalcell,요검사,"Urine,random"
2636,Transitionalcell,응급검사,"Urine,random"
